/Users/ggarcia/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Loading environment variables from .env file in $HOME/.sfdc...
Connected to Salesforce successfully!
Start Date: 2024-09-16
End Date: 2024-09-30
Current Quarter: Q3
SOQL Query: 
    SELECT Name, Amount, CloseDate, ForecastCategoryName, Owner_Area__c, Distributor__c, StageName, IsClosed
    FROM Opportunity
    WHERE CloseDate >= 2024-09-16 
    AND CloseDate <= 2024-09-30
    AND IsClosed = False
    AND Owner_Area__c LIKE '%SOLA%'
    ORDER BY CloseDate ASC
    
Total records retrieved: 849
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-RNW-BOLSA-W38 SEPTIEMBRE 16, CloseDate: 2024-09-16, Area: SOLA - Colombia, Amount: 1595.0
Distributor: a0N3400000TSoUvEAL, Opportunity: Q4-FY24-RNW-LA PAPELERA, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 9365.35
Distributor: a0N3400000Tx4Z2EAJ, Opportunity: Private Offer - AWS - Q4 -2024 - 300 LICEN. ZTNA LULO BANK S A-, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 13031.55
Distributor: a0N3400000TSnEAEA1, Opportunity: Tecnasa-Fortius-FG VM, CloseDate: 2024-09-20, Area: SOLA - Ecuador, Amount: 1674.59
Distributor: a0N3400000TSoUvEAL, Opportunity: FT // Q3-2024-Renewal-ECOM CHACO S.A. (Named Account), CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 59502.08
Distributor: a0N3400000LcbceEAB, Opportunity: Q2FY24-Renewal-TDP/IPTV FG 1101E, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 20522.14
Distributor: a0N800000069gpPEAQ, Opportunity: Q3-FY24-RNW-OBRAS SANITARIAS MGP- CM-ARG1, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 4333.42
Distributor: a0N3400000TSnE0EAL, Opportunity: Acindar - Druidics - FortiNAC, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 43147.21
Distributor: a0N30000000WGdSEAW, Opportunity: LOCAL - SCANIA/Globalgate - APs (Cisco Displacement), CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 10465.2
Distributor: a0N3400000TSoY4EAL, Opportunity: COL- DyS- APs.- UNIVERSIDAD DE MANIZALES- APs, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 16344.0
Distributor: a0N3400000LcbcZEAR, Opportunity: Universidad EIA- FG, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 47531.04
Distributor: a0N3400000TSoY9EAL, Opportunity: Entel - Lucky - NGFW, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 454.41
Distributor: a0N30000000WGdSEAW, Opportunity: AGIP - Novared - Forticare to UTP  - Datacenter, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 119804.05
Distributor: a0N2H000007lgX2UAI, Opportunity: TELCONET / CPMV / LANEDGE FS, CloseDate: 2024-09-20, Area: SOLA - Ecuador, Amount: 67795.73
Distributor: a0N3400000TSnEAEA1, Opportunity: Greendc - Confiteca - FG Sd branch FAZ, CloseDate: 2024-09-20, Area: SOLA - Ecuador, Amount: 25631.39
Distributor: a0N3400000TSoY9EAL, Opportunity: Sell Out - Entel - Grupo Lives, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 1491.44
Distributor: a0N800000069gpPEAQ, Opportunity: FT // Q4-2024-Renewal-Acindar S.A. (Named Account), CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 32937.75
Distributor: a0N3400000LcbcUEAR, Opportunity: Q3-FY24-RNW-RunRate, CloseDate: 2024-09-20, Area: SOLA - Ecuador, Amount: 4340.0
Distributor: a0N3400000TSoY9EAL, Opportunity: DEFENSORÍA DEL PUEBLO - WAF, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 31644.3
Distributor: a0N3400000TSnE0EAL, Opportunity: Corrientes Telecomunicaciones SAPEM-Druidics-FG-40F, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 1300.87
Distributor: a0N3400000TSoY4EAL, Opportunity: SW_Plantas/CAME/Gamma, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 12356.45
Distributor: a0N30000000WGdSEAW, Opportunity: SD-WAN ICBC, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 25601.32
Distributor: a0N2H000007lgX7UAI, Opportunity: Fotitoken -Audifarma S.A-, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 4582.8
Distributor: a0N3400000Psy93EAB, Opportunity: IFX- Firewall Ufinet Colombia-, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 34128.0
Distributor: a0N30000000WGdSEAW, Opportunity: Belgrano Cargas | Telecom | Fortigates, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 28076.29
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-RNW-VENEMERGENCIA, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 3605.76
Distributor: a0N3400000TSoY4EAL, Opportunity: Q2-FY24-New Business-Subred Integrada de Servicios de Salud Centro Oriente E.S.E.-FG400F, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 11180.23
Distributor: a0N3400000TSoY4EAL, Opportunity: Q3-FY24-RNW BOLSA  SEPT WEEK12, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 9000.0
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-RNW-PIL ANDINA, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 3283.22
Distributor: a0N3400000LcbceEAB, Opportunity: SILHER CORP - Bafing - FGs, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 31502.75
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-RNW-BOLSA-W38 SEPTIEMBRE, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 6229.0
Distributor: a0N3400000Psy93EAB, Opportunity: Q2-FY24-RNW-Primax Colombia S.A. FG500E (Named/C/COB), CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 4586.666
Distributor: a0N2H00000WMYUgUAP, Opportunity: Newsan | Algeiba | ZTNA, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 26400.55
Distributor: a0N3400000TSoY4EAL, Opportunity: Q3-FY24-Renewal-Grupo Exito (Named/E/ILP), CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 283.14
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-Renewal-Dialnet de Colombia S.A. E.S.P., CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 22632.43
Distributor: a0N800000069gpPEAQ, Opportunity: eMZT- Bioetanol Rio Cuarto S.A.- Switches, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 22143.68
Distributor: a0N3400000TSoUqEAL, Opportunity: Q3-FY24-RNW-BOLSA-BISNEXT, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 6000.0
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-FY24-Renewal-Sucroal S.A. ( Commercial) JG, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 2597.68
Distributor: a0N3400000LcbceEAB, Opportunity: SPSA-Tiendas Mass-CPE 17 puntos Entel, CloseDate: 2024-09-20, Area: SOLA - Peru, Amount: 5198.6
Distributor: a0N30000000WGdSEAW, Opportunity: STOCK + LOCAL - RAMONDA MOTORS- EXCELCOM- FG + FAP + CLIENT, CloseDate: 2024-09-20, Area: SOLA - Argentina, Amount: 4224.0
Distributor: a0N2H000007lgX7UAI, Opportunity: Q3-FY24-RNW-TOUR VACATION HOTEL AZUL (Named/E/JPM) MIGUEL MARIN, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 527.26
Distributor: a0N3400000TSoY4EAL, Opportunity: Q3-FY24-Renewal-Gomez Cajiao Asociados, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 5821.57
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-Renewal-ITCOL SAS, CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 1260.0
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-FY24-Renewal-Sonria (Named/C/AMR), CloseDate: 2024-09-20, Area: SOLA - Colombia, Amount: 2412.81
Distributor: None, Opportunity: Q3-FY24-Renewal-Empresas Publicas de Cundinamarca S.A. E.S.P., CloseDate: 2024-09-21, Area: SOLA - Colombia, Amount: 1891.59
Distributor: a0N2H00000WHVkxUAH, Opportunity: Q3-2024-Renewal-Ministerio del Interior (Named Account), CloseDate: 2024-09-23, Area: SOLA - BPUV, Amount: 132849.31
Distributor: a0N3400000LcbcZEAR, Opportunity: Claro-GCO-SDWAN, CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 72457.64
Distributor: a0N3400000TSoY4EAL, Opportunity: Sonda/Sonda/Actualizacion Infra Interna, CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 35868.64
Distributor: a0N3400000LcbhyEAB, Opportunity: Pucobre- El espino SW+AP-Tecnovoa-Dacas, CloseDate: 2024-09-23, Area: SOLA - Chile, Amount: 11635.82
Distributor: a0N3400000LcbcZEAR, Opportunity: MC- COMFANDI-ZTNA, CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 149171.22
Distributor: None, Opportunity: STOCK Comfandi-SDWAN MEDIA COMMERCE, CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 714.0
Distributor: a0N3400000TSnDvEAL, Opportunity: PS -SAVAL, CloseDate: 2024-09-23, Area: SOLA - Chile, Amount: 11616.0
Distributor: a0N3400000LcbcZEAR, Opportunity: PERMODA  S.A.-FG-60 STOCK, CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 4691.25
Distributor: a0N30000000WGdSEAW, Opportunity: CS - BRA - FAZ & FMG, CloseDate: 2024-09-23, Area: SOLA - Argentina, Amount: 13391.83
Distributor: a0N3400000TSnDvEAL, Opportunity: Q1-FY25-RNW-Minera Collahuasi (36m), CloseDate: 2024-09-23, Area: SOLA - Chile, Amount: 31686.22
Distributor: a0N3400000TSnE0EAL, Opportunity: AMX Argentina - DRP Project, CloseDate: 2024-09-23, Area: SOLA - Argentina, Amount: 204049.79
Distributor: a0N3400000TSoUvEAL, Opportunity: BCP - FortiGates CloudFactory, CloseDate: 2024-09-23, Area: SOLA - BPUV, Amount: 11039.51
Distributor: a0N2H00000VO1GxUAL, Opportunity: PY - Technoma - ITTI - FG-120G, CloseDate: 2024-09-23, Area: SOLA - BPUV, Amount: 5477.82
Distributor: a0N3400000TSoUvEAL, Opportunity: Rappi - ISSecurity - FTM - Expansion II, CloseDate: 2024-09-23, Area: SOLA - Argentina, Amount: 9839.96
Distributor: a0N3400000Psy93EAB, Opportunity: Claro GiLAN, CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 79935.74
Distributor: a0N3400000LcbcUEAR, Opportunity: New_SASE_EC_SP-Ufinet/Sell To/FClient ZTNA, FAuth, FToken, CloseDate: 2024-09-23, Area: SOLA - Ecuador, Amount: 88113.6
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-2024-Renewal-SEGIP, CloseDate: 2024-09-23, Area: SOLA - BPUV, Amount: 10933.0
Distributor: a0N800000067B0yEAE, Opportunity: Q2-2024-NEW BUSINESS CARVAJAL MEXICO-ECUADOR-PERU., CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 35980.12
Distributor: a0N3400000TSoY4EAL, Opportunity: CLIINCA MAR CARIBE-FASE 1 (FG+WAF+FMAIL), CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 27557.16
Distributor: a0N3400000TSoY4EAL, Opportunity: Q4-2024-Renewal-Asmet Salud EPS (Named/E/ILP), CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 7886.8
Distributor: a0N3400000TSoY4EAL, Opportunity: UniMagdalena-FG-HA, CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 41850.0
Distributor: a0N2H000007lgX7UAI, Opportunity: Fswtich/Gensa/IngTelematica, CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 3805.13
Distributor: a0N3400000LcbhyEAB, Opportunity: Cenizas-switch +sfp mina- Advisers- Dacas, CloseDate: 2024-09-23, Area: SOLA - Chile, Amount: 1119.6
Distributor: None, Opportunity: Q3-FY24-Renewal-Coac. COOPAD, CloseDate: 2024-09-23, Area: SOLA - Ecuador, Amount: 2226.0
Distributor: a0N3400000TSoY4EAL, Opportunity: Gases del Llano ZTNA, Securtiy Device, CloseDate: 2024-09-23, Area: SOLA - Colombia, Amount: 7100.0
Distributor: None, Opportunity: Q3-FY24-Renewal-Asociados Don Mario, CloseDate: 2024-09-23, Area: SOLA - Argentina, Amount: 1748.32
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-Renewal-Union Personal, CloseDate: 2024-09-23, Area: SOLA - Argentina, Amount: 6133.88
Distributor: a0N3400000TSoY9EAL, Opportunity: Q3FY24-Renewal-AMERICA TV, CloseDate: 2024-09-24, Area: SOLA - Peru, Amount: 4817.76
Distributor: a0N3400000TSnEAEA1, Opportunity: New_SECOPS_EC_SP - Puntonet/ FMail /  Grupasa, CloseDate: 2024-09-24, Area: SOLA - Ecuador, Amount: 15286.32
Distributor: a0N3400000LcbhyEAB, Opportunity: Masisa-GlobalData-Dacas-WIfi, CloseDate: 2024-09-24, Area: SOLA - Chile, Amount: 4152.61
Distributor: a0N3400000LcbcUEAR, Opportunity: New_SecOps_EC_Intercommerce / Intercommerce / FMail, CloseDate: 2024-09-24, Area: SOLA - Ecuador, Amount: 4274.1
Distributor: a0N3400000LcbcZEAR, Opportunity: FUNDACION CLINICA DEL RIO-SDBRANCH-FNAC+EPP, CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 15567.1
Distributor: a0N3400000TSoY4EAL, Opportunity: Telefónica FortiAuthenticator-VM Lic., CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 8631.6
Distributor: a0N2H000007lgX2UAI, Opportunity: Q3-FY24-RNW-ECUA 911, CloseDate: 2024-09-24, Area: SOLA - Ecuador, Amount: 1079.75
Distributor: a0N3400000TSnEAEA1, Opportunity: Conecta - Conecta - Fcamaras uso interno, CloseDate: 2024-09-24, Area: SOLA - Ecuador, Amount: 7301.91
Distributor: a0N800000067B0yEAE, Opportunity: DE LA PAZ - FAP_OST, CloseDate: 2024-09-24, Area: SOLA - BPUV, Amount: 9956.8
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-RNW-BANESCO, CloseDate: 2024-09-24, Area: SOLA - BPUV, Amount: 6387.98
Distributor: a0N3400000TSoY4EAL, Opportunity: INGENIERIA TELEMATICA/GOB.RISARALDA/FG+APs, CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 7643.16
Distributor: a0N3400000LcbceEAB, Opportunity: PERÚ - MGP - Marina de Guerra del Perú- Renewal - Upsell, CloseDate: 2024-09-24, Area: SOLA - Peru, Amount: 57195.66
Distributor: a0N2H000007lgX7UAI, Opportunity: FGs  Respaldo, CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 23975.16
Distributor: a0N3400000Tx4Z2EAJ, Opportunity: NGFW / WAF AWS, CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 4965.58
Distributor: a0N8000000Aiif0EAB, Opportunity: Claro - Enterprise Agreement 2024, CloseDate: 2024-09-24, Area: SOLA - Peru, Amount: 4193397.03
Distributor: a0N3400000LcbcUEAR, Opportunity: ENT-SEGUROS PICHINCHA NAC HA, CloseDate: 2024-09-24, Area: SOLA - Ecuador, Amount: 20564.28
Distributor: a0N3400000Psy93EAB, Opportunity: Claro - Regulatory URL Filtering, CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 32538.0
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-2024-RNW UDEC FG600E, CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 10105.43
Distributor: a0N3400000LcbcZEAR, Opportunity: COEM/BIOFLUIDOS & FARMA/Proyecto Conectividad (SW+APs), CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 12699.85
Distributor: a0N3400000Psy93EAB, Opportunity: Refresh + adicionales, CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 54380.92
Distributor: a0N3400000Psy93EAB, Opportunity: Seguridad Integrada UdeC, CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 170440.62
Distributor: a0N3400000Psy93EAB, Opportunity: Alcaldia de Cartagena-Equipos Stock Tigo UNE Q3, CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 16519.32
Distributor: a0N3400000LcbcZEAR, Opportunity: FW Perimetral Directv, CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 33364.2
Distributor: a0N3400000TSoY4EAL, Opportunity: Q3-FY24-Renewal-Superpolo S.A.S. (Named/C/COB), CloseDate: 2024-09-24, Area: SOLA - Colombia, Amount: 5171.87
Distributor: a0N3400000LcbcZEAR, Opportunity: FortiNac + SW+ SDWAN + FMonitor - Heimcore, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 199138.28
Distributor: a0N3400000LcbcjEAB, Opportunity: CPT_NetProvider_Adistec_Embarcaciones (SD-BRANCH), CloseDate: 2024-09-25, Area: SOLA - Chile, Amount: 18103.92
Distributor: a0N30000000WGdSEAW, Opportunity: Claro - Koandina - Proyecto SDWAN, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 87033.32
Distributor: a0N2H000007lgYjUAI, Opportunity: OT-O-I Colombia-Netmask-Colombia Peru Ecuador, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 23504.52
Distributor: a0N3400000TSoUvEAL, Opportunity: Belgrano Cargas | Arquia | FortiAP, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 3299.4
Distributor: a0N3400000Psy93EAB, Opportunity: ARUS/FUNDACION HOSPITAL UNIVERSIDAD DEL NORTE/SWs core, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 15994.96
Distributor: a0N3400000LcbcZEAR, Opportunity: COEM/ALQUERÍA/LAN Switching Fase II - Cajicá, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 93419.34
Distributor: a0N3400000TSoUqEAL, Opportunity: UY_Zonamerica_EDR Deceptor, CloseDate: 2024-09-25, Area: SOLA - BPUV, Amount: 51450.0
Distributor: a0N3400000LcbceEAB, Opportunity: Hayduk - FortiNAC+FG+FSW - EKIS, CloseDate: 2024-09-25, Area: SOLA - Peru, Amount: 33804.94
Distributor: a0N3400000LcbcZEAR, Opportunity: INTERACTIVO CONTACT CENTER- rearquitectura 2024, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 40138.94
Distributor: a0N3400000Psy93EAB, Opportunity: TIGO-NUTRESA ACO-SDWAN 1ra, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 51304.61
Distributor: a0N3400000LcbhyEAB, Opportunity: Q4-2024-Renewal-Salfa-NLT-DACAS, CloseDate: 2024-09-25, Area: SOLA - Chile, Amount: 62714.0
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-2024-Renewal-Delapaz, CloseDate: 2024-09-25, Area: SOLA - BPUV, Amount: 9882.24
Distributor: a0N3400000LcbcZEAR, Opportunity: Q3-2024 RFP Fortinet Summa Celsia Argos / Sencinet, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 74723.43
Distributor: a0N2H000007lgX2UAI, Opportunity: Q4-FY24-RNW-FortiMail CLARO, CloseDate: 2024-09-25, Area: SOLA - Ecuador, Amount: 7613.63
Distributor: a0N3400000LcbceEAB, Opportunity: Q3FY24-Renewal-Grupo Okinawatec Coterm, CloseDate: 2024-09-25, Area: SOLA - Peru, Amount: 3452.0
Distributor: a0N2H00000VO1GsUAL, Opportunity: BOL-OST-CRECER IFD SDWAN, CloseDate: 2024-09-25, Area: SOLA - BPUV, Amount: 10501.81
Distributor: a0N3400000Psy93EAB, Opportunity: La Previsora Seguros-FortiSIEM, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 534879.42
Distributor: a0N3400000LcbcUEAR, Opportunity: Puntonet / Seguros Condor / SDBranch, CloseDate: 2024-09-25, Area: SOLA - Ecuador, Amount: 17427.95
Distributor: a0N3400000LcbcZEAR, Opportunity: SF-MINTRANSPORTE-GROWDATA, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 481200.0
Distributor: None, Opportunity: Q3-2024 NUTRESA-CORDALSA USA NEW 4FG, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 9197.136
Distributor: a0N30000000WGdSEAW, Opportunity: (Stock y compra) teco - White Bridge service - SDWAN, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 8135.64
Distributor: a0N3400000Psy93EAB, Opportunity: [XSELLTELCOS] -Cirion - MAZDA  DE  COLOMBIA S.A.S- 1era Instancia, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 22292.4
Distributor: a0N3400000LcbcZEAR, Opportunity: Bancamia - STS - SOC, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 161087.7
Distributor: a0N3400000LcbcZEAR, Opportunity: DATASEC-MINTRANSPORTE-UPGRADE, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 72381.95
Distributor: a0N3400000Psy93EAB, Opportunity: SDWAN Cajeros - Switches - Balanceadores Davivienda - COEM, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 589307.68
Distributor: a0N3400000TSoY4EAL, Opportunity: Telefonica SOC, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 18038.4
Distributor: a0N30000000WGdSEAW, Opportunity: Teco_RFI FIREWALL Ciberseguridad / Arquitectura Evolución y Diseño Infraestructura y Legados _tbd, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 371408.37
Distributor: a0N3400000TSoY4EAL, Opportunity: Agricola de los Llanos SAS - BIOENERGY- proyecto LAN Corporativa FASE 1, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 190440.57
Distributor: a0N3400000Psy93EAB, Opportunity: CHEVYPLAN-refresh FG, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 44619.52
Distributor: a0N3400000Psy93EAB, Opportunity: Networking - Switches (Palmira), CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 33361.39
Distributor: a0N30000000WGdSEAW, Opportunity: Atento Argentina S.A.- Refresh FG-600D, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 9823.96
Distributor: a0N30000000WGdSEAW, Opportunity: LOCAL- Capsa Capex- CONSULTING - PROYECTO OT IT, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 27593.53
Distributor: a0N30000000WGdSEAW, Opportunity: OLEODUCTO TRASANDINO ARGENTIA S.A. (OTA & OTC)-HEADCOMM-FW & FS, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 204574.27
Distributor: a0N3400000LcbcZEAR, Opportunity: SDWAN Cloud, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 114537.72
Distributor: a0N3400000Psy93EAB, Opportunity: SOMOS Internet CGNAT, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 22648.6
Distributor: a0N800000067B0yEAE, Opportunity: Min Gob_Teclu_FCN_FG For Branch, CloseDate: 2024-09-25, Area: SOLA - BPUV, Amount: 152125.69
Distributor: a0N3400000Psy93EAB, Opportunity: CORPOCESAR-SD-BRANCH, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 16668.72
Distributor: a0N3400000LcbcZEAR, Opportunity: Q4-2024-CrossSell-superintendencia de Sociedades, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 221597.4
Distributor: a0N3400000LcbcZEAR, Opportunity: Q2-FY24-CROSS SELL-CI2- COMPAÑIA INTERNACIONAL DE INTEGRACION FORTIMANAGER, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 71260.32
Distributor: a0N3400000LcbcZEAR, Opportunity: Grupo ISA - Intercolombia-Seguridad para Red OT - Subestaciones (segunda etapa), CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 27199.6
Distributor: a0N3400000Psy93EAB, Opportunity: COEM/CNTS/FGs+SW+APs, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 7604.1
Distributor: a0N3400000TSoUvEAL, Opportunity: Richmond | TMB Group  | OT Nueva Planta Vida, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 3051.0
Distributor: a0N800000067B0yEAE, Opportunity: YPFB TRANSPORTE S.A.-MDR.TECLU, CloseDate: 2024-09-25, Area: SOLA - BPUV, Amount: 286693.0
Distributor: a0N30000000WGdSEAW, Opportunity: BANCO CREDICOOP COOP. LTDO.- SD-WAN- Telefonica, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 26520.12
Distributor: a0N30000000WGdSEAW, Opportunity: La Caja - Headcomm - FS - Branch Switching, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 39106.7
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-2024-Renewal- FG401, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 6477.75
Distributor: a0N3400000Psy93EAB, Opportunity: ARUS/Aguas de Cartagena/FortiWeb, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 8997.5
Distributor: a0N3400000TSnEAEA1, Opportunity: Q3-FY24-RNW-Grupo Vilaseca 3Y, CloseDate: 2024-09-25, Area: SOLA - Ecuador, Amount: 21178.8
Distributor: a0N30000000WGdSEAW, Opportunity: INTERBANKING S.A.- CS - FG - New Site, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 22566.6
Distributor: a0N30000000WGdSEAW, Opportunity: Codere Argentina-WiFi Bingos Phase 1 POC, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 934.54
Distributor: a0N3400000LcbcZEAR, Opportunity: Claro FW SDWAN Interno, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 40842.0
Distributor: a0N3400000TSoUvEAL, Opportunity: Q3-FY24-Renewal-Meli Inc (Named)-CM-ARG1, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 12118.97
Distributor: a0N3400000TSoUvEAL, Opportunity: Farmacias Peruanas-switches fase 5, CloseDate: 2024-09-25, Area: SOLA - Peru, Amount: 110267.52
Distributor: a0N3400000Psy93EAB, Opportunity: Q4-FY24-RNW-XM (Named/E/DMI) DIANA MIRA, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 11763.95
Distributor: a0N800000069gpPEAQ, Opportunity: Q3-FY24-Renewal-ASOCIART ART S.A.-CMM-//FT, CloseDate: 2024-09-25, Area: SOLA - Argentina, Amount: 2443.81
Distributor: a0N3400000LcbhyEAB, Opportunity: SALFA - FAZ, CloseDate: 2024-09-25, Area: SOLA - Chile, Amount: 13949.55
Distributor: a0N3400000TSoY4EAL, Opportunity: Q4-FY24-Cross Sell Elite-CREG (Named/G/FGR), CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 11228.06
Distributor: a0N3400000Psy93EAB, Opportunity: Q3-FY24-Renewal-Fincomercio (Named/C/AMR), CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 6115.984
Distributor: a0N3400000Psy93EAB, Opportunity: COEM/Davivienda/Proyecto switching Oficinas, CloseDate: 2024-09-25, Area: SOLA - Colombia, Amount: 227044.0
